Worksheet Filter,Median Sale Price,Period End,Property Type,Region,Region Type,State Code
Value,$148K,1/31/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$223K,7/31/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$199K,11/30/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$265K,7/31/2015,All Residential,"Atlanta, GA",Place/City,GA
Value,$232K,10/31/2015,All Residential,"Atlanta, GA",Place/City,GA
Value,$215K,1/31/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$250K,8/31/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$238K,9/30/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$245K,11/30/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$259K,8/31/2017,All Residential,"Atlanta, GA",Place/City,GA
Value,$255K,9/30/2017,All Residential,"Atlanta, GA",Place/City,GA
Value,$290K,9/30/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$284K,12/31/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$335K,4/30/2019,All Residential,"Atlanta, GA",Place/City,GA
Value,$178K,5/31/2012,All Residential,"Chicago, IL",Place/City,IL
Value,$289K,4/30/2017,All Residential,"Chicago, IL",Place/City,IL
Value,$250K,12/31/2018,All Residential,"Chicago, IL",Place/City,IL
Value,$276K,8/31/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$271K,11/30/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$277K,12/31/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$340K,8/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$364K,5/31/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$358K,4/30/2019,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$180K,1/31/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$196K,4/30/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$236K,5/31/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$227K,12/31/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$215K,2/28/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$263K,8/31/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$166K,9/30/2013,All Residential,"Charlotte, NC",Place/City,NC
Value,$220K,6/30/2016,All Residential,"Charlotte, NC",Place/City,NC
Value,$207K,1/31/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$237K,3/31/2018,All Residential,"Charlotte, NC",Place/City,NC
Value,$369K,1/31/2013,All Residential,"San Diego, CA",Place/City,CA
Value,$470K,8/31/2014,All Residential,"San Diego, CA",Place/City,CA
Value,$513K,1/31/2015,All Residential,"Los Angeles, CA",Place/City,CA
Value,$475K,2/28/2015,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,160K",3/31/2015,All Residential,"San Francisco, CA",Place/City,CA
Value,"$1,250K",4/30/2015,All Residential,"San Francisco, CA",Place/City,CA
Value,"$1,204K",10/31/2015,All Residential,"San Francisco, CA",Place/City,CA
Value,"$1,415K",4/30/2018,All Residential,"San Francisco, CA",Place/City,CA
Value,"$1,370K",12/31/2018,All Residential,"San Francisco, CA",Place/City,CA
Value,$625K,4/30/2019,All Residential,"San Diego, CA",Place/City,CA
Value,$234K,8/31/2012,All Residential,"Denver, CO",Place/City,CO
Value,$250K,11/30/2013,All Residential,"Denver, CO",Place/City,CO
Value,$274K,11/30/2014,All Residential,"Denver, CO",Place/City,CO
Value,$313K,9/30/2015,All Residential,"Denver, CO",Place/City,CO
Value,$320K,1/31/2016,All Residential,"Denver, CO",Place/City,CO
Value,$342K,9/30/2016,All Residential,"Denver, CO",Place/City,CO
Value,$390K,4/30/2017,All Residential,"Denver, CO",Place/City,CO
Value,$421K,9/30/2018,All Residential,"Denver, CO",Place/City,CO
Value,$415K,10/31/2018,All Residential,"Denver, CO",Place/City,CO
Value,$170K,9/30/2012,All Residential,"Miami, FL",Place/City,FL
Value,$180K,3/31/2013,All Residential,"Miami, FL",Place/City,FL
Value,$210K,8/31/2013,All Residential,"Miami, FL",Place/City,FL
Value,$230K,4/30/2015,All Residential,"Miami, FL",Place/City,FL
Value,$245K,6/30/2015,All Residential,"Miami, FL",Place/City,FL
Value,$271K,10/31/2016,All Residential,"Miami, FL",Place/City,FL
Value,$289K,6/30/2017,All Residential,"Miami, FL",Place/City,FL
Value,$280K,7/31/2017,All Residential,"Miami, FL",Place/City,FL
Value,$292K,9/30/2017,All Residential,"Miami, FL",Place/City,FL
Value,$290K,12/31/2017,All Residential,"Miami, FL",Place/City,FL
Value,$192K,3/31/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$305K,9/30/2018,All Residential,"Miami, FL",Place/City,FL
Value,$305K,11/30/2018,All Residential,"Miami, FL",Place/City,FL
Value,$195K,12/31/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$185K,2/28/2019,All Residential,"Jacksonville, FL",Place/City,FL
Value,$140K,4/30/2012,All Residential,"Atlanta, GA",Place/City,GA
Value,$160K,2/28/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$232K,8/31/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$210K,12/31/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$203K,1/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$235K,7/31/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$256K,6/30/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$290K,7/31/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$286K,8/31/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$224K,11/30/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$210K,1/31/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$245K,2/28/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$282K,9/30/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$274K,9/30/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$340K,11/30/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$314K,9/30/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$195K,10/31/2013,All Residential,"Minneapolis, MN",Place/City,MN
Value,$193K,11/30/2013,All Residential,"Minneapolis, MN",Place/City,MN
Value,$200K,3/31/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$226K,6/30/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$238K,6/30/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$240K,1/31/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$266K,4/30/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$264K,10/31/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$275K,3/31/2019,All Residential,"Minneapolis, MN",Place/City,MN
Value,$265K,5/31/2013,All Residential,"Denver, CO",Place/City,CO
Value,$266K,8/31/2013,All Residential,"Denver, CO",Place/City,CO
Value,$285K,6/30/2014,All Residential,"Denver, CO",Place/City,CO
Value,$353K,10/31/2016,All Residential,"Denver, CO",Place/City,CO
Value,$445K,5/31/2018,All Residential,"Denver, CO",Place/City,CO
Value,$400K,2/28/2019,All Residential,"Denver, CO",Place/City,CO
Value,$185K,4/30/2013,All Residential,"Miami, FL",Place/City,FL
Value,$145K,9/30/2014,All Residential,"Jacksonville, FL",Place/City,FL
Value,$150K,8/31/2015,All Residential,"Jacksonville, FL",Place/City,FL
Value,$161K,3/31/2016,All Residential,"Jacksonville, FL",Place/City,FL
Value,$168K,5/31/2016,All Residential,"Jacksonville, FL",Place/City,FL
Value,$270K,2/28/2017,All Residential,"Miami, FL",Place/City,FL
Value,$185K,7/31/2017,All Residential,"Jacksonville, FL",Place/City,FL
Value,$291K,8/31/2017,All Residential,"Miami, FL",Place/City,FL
Value,$200K,5/31/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$190K,10/31/2018,All Residential,"Jacksonville, FL",Place/City,FL
Value,$240K,4/30/2016,All Residential,"Atlanta, GA",Place/City,GA
Value,$240K,2/28/2017,All Residential,"Atlanta, GA",Place/City,GA
Value,$268K,4/30/2017,All Residential,"Atlanta, GA",Place/City,GA
Value,$263K,1/31/2019,All Residential,"Atlanta, GA",Place/City,GA
Value,$250K,9/30/2014,All Residential,"Chicago, IL",Place/City,IL
Value,$200K,2/28/2015,All Residential,"Chicago, IL",Place/City,IL
Value,$275K,6/30/2015,All Residential,"Chicago, IL",Place/City,IL
Value,$255K,10/31/2016,All Residential,"Chicago, IL",Place/City,IL
Value,$295K,6/30/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$307K,7/31/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$197K,2/28/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$210K,4/30/2015,All Residential,"Minneapolis, MN",Place/City,MN
Value,$228K,9/30/2016,All Residential,"Minneapolis, MN",Place/City,MN
Value,$191K,6/30/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$173K,10/31/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$216K,10/31/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$239K,4/30/2018,All Residential,"Charlotte, NC",Place/City,NC
Value,$625K,7/31/2017,All Residential,"New York, NY",Place/City,NY
Value,$595K,6/30/2018,All Residential,"New York, NY",Place/City,NY
Value,$120K,9/30/2013,All Residential,"Cincinnati, OH",Place/City,OH
Value,$122K,12/31/2015,All Residential,"Cincinnati, OH",Place/City,OH
Value,$110K,2/29/2016,All Residential,"Cincinnati, OH",Place/City,OH
Value,$138K,5/31/2017,All Residential,"Cincinnati, OH",Place/City,OH
Value,$198K,2/28/2015,All Residential,"Nashville, TN",Place/City,TN
Value,$243K,1/31/2017,All Residential,"Nashville, TN",Place/City,TN
Value,$280K,11/30/2017,All Residential,"Nashville, TN",Place/City,TN
Value,$175K,7/31/2013,All Residential,"Houston, TX",Place/City,TX
Value,$265K,9/30/2013,All Residential,"Austin, TX",Place/City,TX
Value,$280K,3/31/2014,All Residential,"Austin, TX",Place/City,TX
Value,$265K,5/31/2014,All Residential,"Dallas, TX",Place/City,TX
Value,$248K,2/28/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$269K,3/31/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$188K,4/30/2015,All Residential,"Houston, TX",Place/City,TX
Value,$340K,6/30/2015,All Residential,"Austin, TX",Place/City,TX
Value,$295K,4/30/2016,All Residential,"Dallas, TX",Place/City,TX
Value,$342K,5/31/2016,All Residential,"Austin, TX",Place/City,TX
Value,$334K,2/28/2017,All Residential,"Austin, TX",Place/City,TX
Value,$363K,3/31/2017,All Residential,"Austin, TX",Place/City,TX
Value,$299K,9/30/2017,All Residential,"Dallas, TX",Place/City,TX
Value,$357K,10/31/2017,All Residential,"Austin, TX",Place/City,TX
Value,$340K,6/30/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$220K,12/31/2018,All Residential,"Houston, TX",Place/City,TX
Value,$315K,3/31/2019,All Residential,"Dallas, TX",Place/City,TX
Value,$229K,4/30/2019,All Residential,"Houston, TX",Place/City,TX
Value,$165K,12/31/2014,All Residential,"Newport News, VA",Place/City,VA
Value,$175K,10/31/2015,All Residential,"Newport News, VA",Place/City,VA
Value,$174K,4/30/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$250K,3/31/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$265K,10/31/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$349K,3/31/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$445K,9/30/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$439K,2/28/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$485K,4/30/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$652K,10/31/2017,All Residential,"Seattle, WA",Place/City,WA
Value,$681K,3/31/2019,All Residential,"Seattle, WA",Place/City,WA
Value,$144K,6/30/2016,All Residential,"Cincinnati, OH",Place/City,OH
Value,$155K,3/31/2019,All Residential,"Cincinnati, OH",Place/City,OH
Value,$227K,7/31/2018,All Residential,"Houston, TX",Place/City,TX
Value,$300K,9/30/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$170K,6/30/2014,All Residential,"Newport News, VA",Place/City,VA
Value,$147K,10/31/2014,All Residential,"Newport News, VA",Place/City,VA
Value,$135K,1/31/2015,All Residential,"Newport News, VA",Place/City,VA
Value,$166K,7/31/2015,All Residential,"Newport News, VA",Place/City,VA
Value,$172K,9/30/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$165K,12/31/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$180K,5/31/2017,All Residential,"Newport News, VA",Place/City,VA
Value,$419K,10/31/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$450K,7/31/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$459K,3/31/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$565K,5/31/2016,All Residential,"Seattle, WA",Place/City,WA
Value,$662K,12/31/2017,All Residential,"Seattle, WA",Place/City,WA
Value,$670K,2/28/2019,All Residential,"Seattle, WA",Place/City,WA
Value,$208K,2/28/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$277K,8/31/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$256K,4/30/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$275K,7/31/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$270K,10/31/2015,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$287K,5/31/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$295K,8/31/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$280K,10/31/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$339K,12/31/2016,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$295K,3/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$327K,3/31/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$365K,8/31/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$355K,2/28/2019,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$176K,3/31/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$220K,6/30/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$212K,7/31/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$202K,10/31/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$252K,6/30/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$246K,11/30/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$235K,12/31/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$272K,9/30/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$183K,12/31/2014,All Residential,"Charlotte, NC",Place/City,NC
Value,$174K,2/28/2015,All Residential,"Charlotte, NC",Place/City,NC
Value,$230K,7/31/2017,All Residential,"Charlotte, NC",Place/City,NC
Value,$428K,4/30/2015,All Residential,"New York, NY",Place/City,NY
Value,$604K,1/31/2018,All Residential,"New York, NY",Place/City,NY
Value,$115K,4/30/2014,All Residential,"Cincinnati, OH",Place/City,OH
Value,$158K,8/31/2018,All Residential,"Cincinnati, OH",Place/City,OH
Value,$235K,2/29/2016,All Residential,"Nashville, TN",Place/City,TN
Value,$281K,5/31/2017,All Residential,"Nashville, TN",Place/City,TN
Value,$281K,8/31/2017,All Residential,"Nashville, TN",Place/City,TN
Value,$290K,4/30/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$280K,10/31/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$295K,3/31/2019,All Residential,"Nashville, TN",Place/City,TN
Value,$232K,3/31/2012,All Residential,"Austin, TX",Place/City,TX
Value,$250K,4/30/2012,All Residential,"Austin, TX",Place/City,TX
Value,$250K,8/31/2012,All Residential,"Austin, TX",Place/City,TX
Value,$243K,11/30/2012,All Residential,"Austin, TX",Place/City,TX
Value,$244K,2/28/2013,All Residential,"Austin, TX",Place/City,TX
Value,$280K,4/30/2013,All Residential,"Austin, TX",Place/City,TX
Value,$250K,6/30/2013,All Residential,"Dallas, TX",Place/City,TX
Value,$256K,11/30/2013,All Residential,"Austin, TX",Place/City,TX
Value,$275K,2/28/2014,All Residential,"Austin, TX",Place/City,TX
Value,$245K,4/30/2014,All Residential,"Dallas, TX",Place/City,TX
Value,$232K,11/30/2014,All Residential,"Dallas, TX",Place/City,TX
Value,$255K,12/31/2014,All Residential,"Dallas, TX",Place/City,TX
Value,$294K,2/28/2015,All Residential,"Austin, TX",Place/City,TX
Value,$306K,9/30/2015,All Residential,"Austin, TX",Place/City,TX
Value,$350K,6/30/2016,All Residential,"Austin, TX",Place/City,TX
Value,$290K,9/30/2016,All Residential,"Dallas, TX",Place/City,TX
Value,$270K,12/31/2016,All Residential,"Dallas, TX",Place/City,TX
Value,$345K,9/30/2017,All Residential,"Austin, TX",Place/City,TX
Value,$208K,11/30/2017,All Residential,"Houston, TX",Place/City,TX
Value,$374K,6/30/2018,All Residential,"Austin, TX",Place/City,TX
Value,$225K,6/30/2018,All Residential,"Houston, TX",Place/City,TX
Value,$300K,8/31/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$300K,12/31/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$245K,1/31/2019,All Residential,"Dallas, TX",Place/City,TX
Value,$205K,1/31/2019,All Residential,"Houston, TX",Place/City,TX
Value,$246K,5/31/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$233K,10/31/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$231K,2/29/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$239K,3/31/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$252K,12/31/2016,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$245K,12/31/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$260K,4/30/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$249K,12/31/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$368K,9/30/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$405K,11/30/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$735K,5/31/2012,All Residential,"San Francisco, CA",Place/City,CA
Value,$765K,6/30/2012,All Residential,"San Francisco, CA",Place/City,CA
Value,$362K,8/31/2012,All Residential,"San Diego, CA",Place/City,CA
Value,$880K,8/31/2013,All Residential,"San Francisco, CA",Place/City,CA
Value,$929K,10/31/2013,All Residential,"San Francisco, CA",Place/City,CA
Value,$421K,1/31/2014,All Residential,"San Diego, CA",Place/City,CA
Value,$450K,3/31/2014,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,030K",7/31/2014,All Residential,"San Francisco, CA",Place/City,CA
Value,$475K,9/30/2014,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,150K",2/28/2015,All Residential,"San Francisco, CA",Place/City,CA
Value,$490K,3/31/2015,All Residential,"San Diego, CA",Place/City,CA
Value,$464K,9/30/2015,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,315K",4/30/2016,All Residential,"San Francisco, CA",Place/City,CA
Value,$525K,5/31/2016,All Residential,"San Diego, CA",Place/City,CA
Value,$529K,7/31/2016,All Residential,"San Diego, CA",Place/City,CA
Value,$520K,12/31/2016,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,302K",5/31/2017,All Residential,"San Francisco, CA",Place/City,CA
Value,$601K,4/30/2018,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,400K",8/31/2018,All Residential,"San Francisco, CA",Place/City,CA
Value,$242K,5/31/2012,All Residential,"Denver, CO",Place/City,CO
Value,$234K,9/30/2012,All Residential,"Denver, CO",Place/City,CO
Value,$270K,4/30/2014,All Residential,"Denver, CO",Place/City,CO
Value,$335K,5/31/2015,All Residential,"Denver, CO",Place/City,CO
Value,$345K,3/31/2016,All Residential,"Denver, CO",Place/City,CO
Value,$350K,2/28/2017,All Residential,"Denver, CO",Place/City,CO
Value,$392K,8/31/2017,All Residential,"Denver, CO",Place/City,CO
Value,$400K,10/31/2017,All Residential,"Denver, CO",Place/City,CO
Value,$416K,2/28/2018,All Residential,"Denver, CO",Place/City,CO
Value,$440K,6/30/2018,All Residential,"Denver, CO",Place/City,CO
Value,$420K,8/31/2018,All Residential,"Denver, CO",Place/City,CO
Value,$425K,4/30/2019,All Residential,"Denver, CO",Place/City,CO
Value,$180K,12/31/2012,All Residential,"Miami, FL",Place/City,FL
Value,$220K,3/31/2014,All Residential,"Miami, FL",Place/City,FL
Value,$215K,4/30/2014,All Residential,"Miami, FL",Place/City,FL
Value,$222K,9/30/2014,All Residential,"Miami, FL",Place/City,FL
Value,$150K,4/30/2015,All Residential,"Jacksonville, FL",Place/City,FL
Value,$250K,5/31/2015,All Residential,"Miami, FL",Place/City,FL
Value,$245K,7/31/2015,All Residential,"Miami, FL",Place/City,FL
Value,$150K,12/31/2015,All Residential,"Jacksonville, FL",Place/City,FL
Value,$250K,12/31/2015,All Residential,"Miami, FL",Place/City,FL
Value,$145K,1/31/2016,All Residential,"Jacksonville, FL",Place/City,FL
Value,$255K,5/31/2016,All Residential,"Miami, FL",Place/City,FL
Value,$269K,8/31/2016,All Residential,"Miami, FL",Place/City,FL
Value,$165K,9/30/2016,All Residential,"Jacksonville, FL",Place/City,FL
Value,$275K,2/28/2018,All Residential,"Miami, FL",Place/City,FL
Value,$305K,8/31/2018,All Residential,"Miami, FL",Place/City,FL
Value,$310K,12/31/2018,All Residential,"Miami, FL",Place/City,FL
Value,$188K,1/31/2019,All Residential,"Jacksonville, FL",Place/City,FL
Value,$299K,2/28/2019,All Residential,"Miami, FL",Place/City,FL
Value,$200K,3/31/2019,All Residential,"Jacksonville, FL",Place/City,FL
Value,$163K,6/30/2012,All Residential,"Atlanta, GA",Place/City,GA
Value,$193K,2/28/2014,All Residential,"Atlanta, GA",Place/City,GA
Value,$220K,2/28/2015,All Residential,"Atlanta, GA",Place/City,GA
Value,$257K,1/31/2018,All Residential,"Atlanta, GA",Place/City,GA
Value,$170K,2/28/2014,All Residential,"Houston, TX",Place/City,TX
Value,$240K,3/31/2014,All Residential,"Dallas, TX",Place/City,TX
Value,$188K,5/31/2014,All Residential,"Houston, TX",Place/City,TX
Value,$170K,1/31/2015,All Residential,"Houston, TX",Place/City,TX
Value,$287K,5/31/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$315K,10/31/2015,All Residential,"Austin, TX",Place/City,TX
Value,$328K,11/30/2015,All Residential,"Austin, TX",Place/City,TX
Value,$259K,12/31/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$302K,1/31/2016,All Residential,"Austin, TX",Place/City,TX
Value,$185K,1/31/2016,All Residential,"Houston, TX",Place/City,TX
Value,$280K,3/31/2016,All Residential,"Dallas, TX",Place/City,TX
Value,$351K,4/30/2016,All Residential,"Austin, TX",Place/City,TX
Value,$317K,7/31/2017,All Residential,"Dallas, TX",Place/City,TX
Value,$310K,12/31/2017,All Residential,"Dallas, TX",Place/City,TX
Value,$216K,12/31/2017,All Residential,"Houston, TX",Place/City,TX
Value,$300K,11/30/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$351K,2/28/2019,All Residential,"Austin, TX",Place/City,TX
Value,$243K,7/31/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$165K,3/31/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$250K,11/30/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$254K,7/31/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$378K,4/30/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$407K,1/31/2014,All Residential,"Seattle, WA",Place/City,WA
Value,$510K,11/30/2015,All Residential,"Seattle, WA",Place/City,WA
Value,"$1,056K",12/31/2014,All Residential,"San Francisco, CA",Place/City,CA
Value,$475K,10/31/2015,All Residential,"San Diego, CA",Place/City,CA
Value,$491K,1/31/2016,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,200K",11/30/2016,All Residential,"San Francisco, CA",Place/City,CA
Value,$592K,12/31/2018,All Residential,"San Diego, CA",Place/City,CA
Value,"$1,410K",3/31/2019,All Residential,"San Francisco, CA",Place/City,CA
Value,$370K,3/31/2017,All Residential,"Denver, CO",Place/City,CO
Value,$385K,5/31/2017,All Residential,"Denver, CO",Place/City,CO
Value,$200K,10/31/2013,All Residential,"Atlanta, GA",Place/City,GA
Value,$235K,11/30/2015,All Residential,"Atlanta, GA",Place/City,GA
Value,$275K,7/31/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$245K,12/31/2014,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$325K,5/31/2017,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$325K,10/31/2018,All Residential,"Ann Arbor, MI",Place/City,MI
Value,$157K,2/28/2013,All Residential,"Minneapolis, MN",Place/City,MN
Value,$201K,11/30/2014,All Residential,"Minneapolis, MN",Place/City,MN
Value,$239K,10/31/2017,All Residential,"Minneapolis, MN",Place/City,MN
Value,$265K,11/30/2018,All Residential,"Minneapolis, MN",Place/City,MN
Value,$222K,9/30/2015,All Residential,"Nashville, TN",Place/City,TN
Value,$294K,12/31/2018,All Residential,"Nashville, TN",Place/City,TN
Value,$220K,2/29/2012,All Residential,"Austin, TX",Place/City,TX
Value,$207K,3/31/2012,All Residential,"Dallas, TX",Place/City,TX
Value,$269K,7/31/2013,All Residential,"Austin, TX",Place/City,TX
Value,$248K,8/31/2013,All Residential,"Dallas, TX",Place/City,TX
Value,$299K,1/31/2015,All Residential,"Austin, TX",Place/City,TX
Value,$260K,9/30/2015,All Residential,"Dallas, TX",Place/City,TX
Value,$327K,10/31/2016,All Residential,"Austin, TX",Place/City,TX
Value,$320K,1/31/2017,All Residential,"Austin, TX",Place/City,TX
Value,$295K,2/28/2017,All Residential,"Dallas, TX",Place/City,TX
Value,$371K,5/31/2017,All Residential,"Austin, TX",Place/City,TX
Value,$350K,11/30/2017,All Residential,"Austin, TX",Place/City,TX
Value,$353K,12/31/2017,All Residential,"Austin, TX",Place/City,TX
Value,$195K,1/31/2018,All Residential,"Houston, TX",Place/City,TX
Value,$315K,2/28/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$340K,5/31/2018,All Residential,"Dallas, TX",Place/City,TX
Value,$369K,12/31/2018,All Residential,"Austin, TX",Place/City,TX
Value,$145K,1/31/2014,All Residential,"Newport News, VA",Place/City,VA
Value,$237K,8/31/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$150K,3/31/2015,All Residential,"Newport News, VA",Place/City,VA
Value,$244K,2/28/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$260K,8/31/2018,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$230K,12/31/2014,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$230K,3/31/2015,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$170K,11/30/2016,All Residential,"Newport News, VA",Place/City,VA
Value,$247K,4/30/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$257K,5/31/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$274K,6/30/2017,All Residential,"Virginia Beach, VA",Place/City,VA
Value,$179K,11/30/2018,All Residential,"Newport News, VA",Place/City,VA
Value,$300K,1/31/2012,All Residential,"Seattle, WA",Place/City,WA
Value,$395K,3/31/2013,All Residential,"Seattle, WA",Place/City,WA
Value,$540K,8/31/2015,All Residential,"Seattle, WA",Place/City,WA
Value,$496K,2/29/2016,All Residential,"Seattle, WA",Place/City,WA
Value,$543K,4/30/2016,All Residential,"Seattle, WA",Place/City,WA
